ProductId,Image Url,Video Url,Product Desc,Origin Price,Discount Price,Discount,Currency,Direct linking commission rate (%),Estimated direct linking commission,Indirect linking commission rate (%),Estimated indirect linking commission,Sales180Day,Positive Feedback,Promotion Url,Code Name,Code Start Time,Code End Time,Code Value,Code Quantity,Code Minimum Spend
1005007010437525,https://ae-pic-a1.aliexpress-media.com/kf/Sf474f5895edf44db9d2034bb31e3ea92I.jpg,,Dash Cam 4K UHD Recording Car Camera DVR Night Vision Video Recorder Built-In Wi-Fi Support GPS 24H Parking,ILS 344.26,ILS 130.27,62%,ILS,7.0,ILS 9.12,7.0,ILS 9.12,9189,92.4%,https://s.click.aliexpress.com/e/_c4mCT3Mj,,,,,,
1005006667971439,https://ae-pic-a1.aliexpress-media.com/kf/S399edf9914344991960d48ba0f267dd3w.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/239350914/p/1/e/6/t/10301/1100220177913.mp4,Baseus Car Windshield Sun Shade Umbrella Wider Hemmed Edges Cover Front Window Sunshades Summer Sun Protection Accessories,ILS 113.53,ILS 45.98,59%,ILS,7.0,ILS 3.22,7.0,ILS 3.22,3206,95.3%,https://s.click.aliexpress.com/e/_c36saCzt,,,,,,
1005009939508942,https://ae-pic-a1.aliexpress-media.com/kf/S70fc562b571f44bdaab88bf88f59f9e9l.jpg,,Portable Toddler Airplane Bed For Kid Baby Mattress Air Bed Seat Extender Sleeping Mattress Seat For Travel Car Road Trip,ILS 203.64,ILS 77.84,61%,ILS,9.0,ILS 7.01,9.0,ILS 7.01,948,92.1%,https://s.click.aliexpress.com/e/_c4sbccn9,,,,,,
1005010195544796,https://ae-pic-a1.aliexpress-media.com/kf/S9cbee6a331b84f2c90399f74939a03b1t.jpg,,BUTURE 5500A Car Jump Starter BC02 Power Bank Portable 150PSI Air Pump Car Battery Emergency Boosters Car Starter Starting,ILS 517.81,ILS 222.67,57%,ILS,7.0,ILS 15.59,7.0,ILS 15.59,236,96.5%,https://s.click.aliexpress.com/e/_c3ZaBm5t,,,,,,
1005009926657110,https://ae-pic-a1.aliexpress-media.com/kf/S6a1f731374b24ccf93bed0b78c5a3cd0t.jpg,,2in1 Wireless CarPlay Dongle Wireless Android Auto Adapter AI Smart Box Car Intelligent Systems For Car With Wired CarPlay,ILS 88.30,ILS 31.95,63%,ILS,7.0,ILS 2.24,7.0,ILS 2.24,56933,90.9%,https://s.click.aliexpress.com/e/_c40xuq4n,,,,,,
1005009615196456,https://ae-pic-a1.aliexpress-media.com/kf/S60882eba5a58496ca31563ca16a4c645L.png,,​​UTRAI All-in-One 7000A Car Jump Starter with Air Compressor &  OBD Diagnosis & Outdoor Camping Lights Emergency Boosters,ILS 844.83,ILS 329.48,61%,ILS,7.0,ILS 23.06,7.0,ILS 23.06,1566,97.2%,https://s.click.aliexpress.com/e/_c3dfTx0F,,,,,,
1005009834328174,https://ae-pic-a1.aliexpress-media.com/kf/S576b2ab749ec4920b5d9437090148032y.jpg,,Jump Starter with Air Compressor 7000A Portable Car Battery Booster (9.0 Gas/6.5L Diesel) with 160PSI Auto-Shutoff Tire Inflator,ILS 1731.71,ILS 294.39,83%,ILS,7.0,ILS 20.61,7.0,ILS 20.61,134,96.5%,https://s.click.aliexpress.com/e/_c420WjeP,,,,,,
1005010402015572,https://ae-pic-a1.aliexpress-media.com/kf/Sd7f70404629e488e9e7731f4583f2390P.jpg,,Best-selling Fruit Car Cup Stainless Steel Insulated Cup Large-capacity Portable Handheld Sports Exclusive Water Cup,ILS 137.23,ILS 53.21,61%,ILS,9.0,ILS 4.79,9.0,ILS 4.79,2455,91.8%,https://s.click.aliexpress.com/e/_c4kgYsij,,,,,,
1005005188504593,https://ae-pic-a1.aliexpress-media.com/kf/S5e0fc1d2dad641ae9d15ec2d0d1e5cdbC.jpg,,LED Touch Light Mini Wireless Car Interior Lighting Auto Roof Ceiling Reading Lamp for Door Foot Trunk Storage Box USB Charging,ILS 16.77,ILS 7.88,53%,ILS,7.0,ILS 0.55,7.0,ILS 0.55,8969,94.8%,https://s.click.aliexpress.com/e/_c2yC0Xk7,,,,,,
1005008473390703,https://ae-pic-a1.aliexpress-media.com/kf/Sa9de0f2340a24a5e86eae8ef9477986cw.jpg,,DDPAI Dash Cam Z50 Pro 4K HDR + 1080P Car DVR Night Vision Wi-Fi 6 GPS ADAS 24h Parking Monitor Front and Rear Camera Dashcam,ILS 729.39,ILS 211.82,70%,ILS,7.0,ILS 14.83,7.0,ILS 14.83,1879,96.2%,https://s.click.aliexpress.com/e/_c4mlyzBt,,,,,,
1005008473283113,https://ae-pic-a1.aliexpress-media.com/kf/Sd3caefae4ffd47faa356a80887a19e6c8.jpg,,DDPAI Z60 Pro 4K Dash Cam Auto Dashcam Front GPS Car Camera for Dual SONY Sensor WiFi ADAS Night Vision DVR Video Recorder,ILS 911.26,ILS 311.64,65%,ILS,7.0,ILS 21.81,7.0,ILS 21.81,4363,95.7%,https://s.click.aliexpress.com/e/_c3RXc0eF,,,,,,
1005009457140096,https://ae-pic-a1.aliexpress-media.com/kf/Sd933cbba2684414daf62148981005532G.jpg,,PAIVIROKU 4-IN-1 Car Jump Starter with Air Compressor 5000APeak Auto Battery Booster 150PSI Air Pump Power Bank Tire Inflator,ILS 539.01,ILS 141.16,73%,ILS,7.0,ILS 9.88,7.0,ILS 9.88,3425,93.7%,https://s.click.aliexpress.com/e/_c33w6Zvl,,,,,,
